province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Varaždinska,49.0,0.0,49.0,100.0,2487.20487108002,0.01970082986317195,0.0,0.01970082986317195,
Kranj,48.0,0.0,48.0,100.0,309.4261675115164,0.15512585889560718,0.0,0.15512585889560718,
Moravskoslezský,48.0,0.0,48.0,100.0,13477.024793085126,0.0035616169545542526,0.0,0.0035616169545542526,
Žužemberk,48.0,0.0,48.0,100.0,355.9298724510279,0.13485802601916838,0.0,0.13485802601916838,
Wien,47.0,0.0,47.0,100.0,922.8270347889726,0.05093045416766288,0.0,0.05093045416766288,
Var,47.0,0.0,47.0,100.0,11426.845510794414,0.0041131211545304665,0.0,0.0041131211545304665,
Cerkno,47.0,0.0,47.0,100.0,278.04880102940024,0.16903507523138117,0.0,0.16903507523138117,
Silesian,46.0,0.0,46.0,100.0,29998.358039065548,0.0015334172603745917,0.0,0.0015334172603745917,
Majšperk,46.0,0.0,46.0,100.0,145.87058418439142,0.31534802069382634,0.0,0.31534802069382634,
Moselle,46.0,0.0,46.0,100.0,14201.964042306769,0.0032389886260075617,0.0,0.0032389886260075617,
Cankova,46.0,0.0,46.0,100.0,180.9843218671994,0.25416566211604424,0.0,0.25416566211604424,
Zug,44.0,0.0,44.0,100.0,515.1180066716473,0.08541732075005293,0.0,0.08541732075005293,
Mehedinti,44.0,0.0,44.0,100.0,9724.677081212023,0.004524571832313851,0.0,0.004524571832313851,
Dravograd,43.0,0.0,43.0,100.0,202.56592886423093,0.21227656714580365,0.0,0.21227656714580365,
Ústecký,42.0,0.0,42.0,100.0,13136.327927355198,0.0031972405250738946,0.0,0.0031972405250738946,
Logatec,42.0,0.0,42.0,100.0,358.8576615086123,0.11703804740697178,0.0,0.11703804740697178,
West Pomeranian,42.0,0.0,42.0,100.0,67002.52866766034,0.000626842013804053,0.0,0.000626842013804053,
Križevci,42.0,0.0,42.0,100.0,111.03201064216832,0.3782692915051024,0.0,0.3782692915051024,
Lucca,42.0,0.0,42.0,100.0,3401.0768493085952,0.012349029986940218,0.0,0.012349029986940218,
Brasov,42.0,0.0,42.0,100.0,10762.624021754673,0.003902394055121195,0.0,0.003902394055121195,
Jesenice,42.0,0.0,42.0,100.0,127.05873846458309,0.33055577685990695,0.0,0.33055577685990695,
Lenart,41.0,0.0,41.0,100.0,271.1893359605401,0.15118588588588813,0.0,0.15118588588588813,
Maribor,40.0,0.0,40.0,100.0,327.9144843935411,0.12198302272001704,0.0,0.12198302272001704,
Stara Zagora,40.0,0.0,40.0,100.0,8928.228766151413,0.004480171940894648,0.0,0.004480171940894648,
Appenzell Ausserrhoden,40.0,0.0,40.0,100.0,521.2509693436006,0.07673846640586796,0.0,0.07673846640586796,
Ain,40.0,0.0,40.0,100.0,11784.255627902563,0.0033943594965208214,0.0,0.0033943594965208214,
Dobrova-Polhov Gradec,39.0,0.0,39.0,100.0,251.12631253469013,0.15530033315251507,0.0,0.15530033315251507,
Yonne,39.0,0.0,39.0,100.0,16618.487370173745,0.002346783984082437,0.0,0.002346783984082437,
Gornji Grad,39.0,0.0,39.0,100.0,193.90781962010382,0.20112649441578573,0.0,0.20112649441578573,
Kungota,39.0,0.0,39.0,100.0,106.42395203494844,0.3664588586899388,0.0,0.3664588586899388,
Tržič,39.0,0.0,39.0,100.0,301.8448955613448,0.12920543157594633,0.0,0.12920543157594633,
Velenje,38.0,0.0,38.0,100.0,183.26904531934832,0.20734543541591863,0.0,0.20734543541591863,
Haute-Savoie,38.0,0.0,38.0,100.0,9743.235208776816,0.0039001419123874965,0.0,0.0039001419123874965,
Seine-Saint-Denis,38.0,0.0,38.0,100.0,541.0468191782104,0.07023421754464383,0.0,0.07023421754464383,
Yvelines,38.0,0.0,38.0,100.0,5209.7164364804985,0.007294063019228637,0.0,0.007294063019228637,
Brezovica,38.0,0.0,38.0,100.0,191.9298012852724,0.1979890550895699,0.0,0.1979890550895699,
Kozje,38.0,0.0,38.0,100.0,189.17392205884474,0.20087335287249403,0.0,0.20087335287249403,
Rovigo,37.0,0.0,37.0,100.0,3604.9848122702197,0.010263566124901218,0.0,0.010263566124901218,
Medimurska,37.0,0.0,37.0,100.0,1703.6862973730304,0.021717613187974518,0.0,0.021717613187974518,
Hunedoara,35.0,0.0,35.0,100.0,14315.56183975639,0.0024448918171552252,0.0,0.0024448918171552252,
Olomoucký,35.0,0.0,35.0,100.0,11867.356959590796,0.002949266641188726,0.0,0.002949266641188726,
Ljubljana,35.0,0.0,35.0,100.0,573.8456492107696,0.060992010740408595,0.0,0.060992010740408595,
Sveti Jurij,34.0,0.0,34.0,100.0,111.88850658228645,0.30387392806065644,0.0,0.30387392806065644,
Mežica,34.0,0.0,34.0,100.0,67.6594436915596,0.5025166945651586,0.0,0.5025166945651586,
Ormož,34.0,0.0,34.0,100.0,425.70148669733067,0.07986817303312273,0.0,0.07986817303312273,
Destrnik,34.0,0.0,34.0,100.0,68.15354425977876,0.4988735416371488,0.0,0.4988735416371488,
Ig,33.0,0.0,33.0,100.0,203.0322250451245,0.1625357747651421,0.0,0.1625357747651421,
Herzegovina-Neretva,33.0,0.0,33.0,100.0,9024.922255024178,0.003656541194205733,0.0,0.003656541194205733,
Vysočina,32.0,0.0,32.0,100.0,16420.658676735304,0.0019487647012197762,0.0,0.0019487647012197762,
Drochia,31.0,0.0,31.0,100.0,1700.9515846824556,0.01822509251830779,0.0,0.01822509251830779,
Podgorica,31.0,0.0,31.0,100.0,2644.208122827535,0.01172373677108696,0.0,0.01172373677108696,
Cuneo,31.0,0.0,31.0,100.0,13596.43707981551,0.002280009080174454,0.0,0.002280009080174454,
Bistrita-Nasaud,31.0,0.0,31.0,100.0,11389.909944291554,0.002721707208540022,0.0,0.002721707208540022,
Satu Mare,30.0,0.0,30.0,100.0,10330.901459880033,0.0029039092199751146,0.0,0.0029039092199751146,
Biella,30.0,0.0,30.0,100.0,1876.8651261437024,0.01598410007310405,0.0,0.01598410007310405,
Ariège,30.0,0.0,30.0,100.0,9292.242986617433,0.0032284993023972367,0.0,0.0032284993023972367,
Mojkovac,29.0,0.0,29.0,100.0,696.5046328231651,0.04163647825636614,0.0,0.04163647825636614,
Radovljica,29.0,0.0,29.0,100.0,249.7714412038754,0.11610614832593616,0.0,0.11610614832593616,
Olt,28.0,0.0,28.0,100.0,10206.54746168699,0.002743337069180886,0.0,0.002743337069180886,
