province,current_strikes,historical_mean_strikes,strike_anomaly,strike_anomaly_percent,area_km2,current_density_km2,historical_mean_density_km2,density_anomaly_km2,density_anomaly_percent
Dornava,0.0,4.0,-4.0,-100.0,58.56509010047491,0.0,0.06830007421037954,-0.06830007421037954,-100.0
Mirna Pec,0.0,4.0,-4.0,-100.0,104.37672126525023,0.0,0.038322721307128334,-0.038322721307128334,-100.0
Trzin,0.0,4.0,-4.0,-100.0,21.598774977139165,0.0,0.18519568837740696,-0.18519568837740696,-100.0
Lukovica,0.0,4.0,-4.0,-100.0,156.31221133194725,0.0,0.02558981135200968,-0.02558981135200968,-100.0
Chernivtsi,0.0,4.0,-4.0,-100.0,18390.263832659737,0.0,0.00021750639557961633,-0.00021750639557961633,-100.0
Comrat,0.0,4.0,-4.0,-100.0,3570.606778043584,0.0,0.0011202577737198186,-0.0011202577737198186,-100.0
Luce,0.0,4.5,-4.5,-100.0,220.0809505844757,0.0,0.020447021825601958,-0.020447021825601958,-100.0
Preddvor,0.0,4.5,-4.5,-100.0,182.02725608546262,0.0,0.02472157245444182,-0.02472157245444182,-100.0
Zlínský,0.0,4.5,-4.5,-100.0,9206.298546254007,0.0,0.0004887957931617398,-0.0004887957931617398,-100.0
Novo Mesto,0.0,5.0,-5.0,-100.0,658.202738532303,0.0,0.0075964436294344165,-0.0075964436294344165,-100.0
Cerklje na Gorenjskem,0.0,5.0,-5.0,-100.0,163.62393648654498,0.0,0.030557876233537243,-0.030557876233537243,-100.0
Vas,0.0,5.0,-5.0,-100.0,7136.469138146186,0.0,0.0007006265848294316,-0.0007006265848294316,-100.0
Podcetrtek,0.0,5.0,-5.0,-100.0,39.4004576680683,0.0,0.12690207921245034,-0.12690207921245034,-100.0
Constanta,0.0,5.0,-5.0,-100.0,14127.01766362152,0.0,0.00035393174405631974,-0.00035393174405631974,-100.0
Divaca,0.0,5.0,-5.0,-100.0,313.27692262664425,0.0,0.01596032021151739,-0.01596032021151739,-100.0
Razgrad,0.0,5.0,-5.0,-100.0,4934.374898659243,0.0,0.0010132995774922958,-0.0010132995774922958,-100.0
Podvelka,0.0,5.0,-5.0,-100.0,197.9779724712786,0.0,0.02525533491219771,-0.02525533491219771,-100.0
Massa-Carrara,0.0,5.0,-5.0,-100.0,2286.9810252243733,0.0,0.002186288362191136,-0.002186288362191136,-100.0
Duplek,0.0,5.0,-5.0,-100.0,86.33274311049045,0.0,0.057915453857418794,-0.057915453857418794,-100.0
Štore,0.0,5.0,-5.0,-100.0,57.06143480905183,0.0,0.08762485585460313,-0.08762485585460313,-100.0
Žalec,0.0,5.0,-5.0,-100.0,252.88964488261325,0.0,0.01977146989281,-0.01977146989281,-100.0
Savona,0.0,5.0,-5.0,-100.0,3074.688342737564,0.0,0.0016261810767943476,-0.0016261810767943476,-100.0
Galati,0.0,5.0,-5.0,-100.0,8714.462036198227,0.0,0.0005737588825599269,-0.0005737588825599269,-100.0
Jezersko,0.0,5.5,-5.5,-100.0,115.84808063897277,0.0,0.047475969991597165,-0.047475969991597165,-100.0
Floreşti,0.0,5.5,-5.5,-100.0,1747.6402752613596,0.0,0.003147100737980804,-0.003147100737980804,-100.0
Slovenj Gradec,0.0,5.5,-5.5,-100.0,368.0705675795275,0.0,0.014942786749205742,-0.014942786749205742,-100.0
Dobrna,0.0,6.0,-6.0,-100.0,70.68925682567874,0.0,0.0848785270836293,-0.0848785270836293,-100.0
Tarn,1.0,7.0,-6.0,-85.71428571428571,11213.236206633252,8.918032061149702e-05,0.0006242622442804791,-0.0005350819236689821,-85.71428571428572
Loški Potok,0.0,6.0,-6.0,-100.0,315.50585213509214,0.0,0.019017079903262592,-0.019017079903262592,-100.0
Plužine,0.0,6.0,-6.0,-100.0,1652.9273389817608,0.0,0.003629923626102119,-0.003629923626102119,-100.0
Cantemir,0.0,6.0,-6.0,-100.0,1828.692153367759,0.0,0.0032810333816713057,-0.0032810333816713057,-100.0
Vojnik,0.0,6.0,-6.0,-100.0,159.16380855224511,0.0,0.03769701199397044,-0.03769701199397044,-100.0
Sežana,0.0,6.0,-6.0,-100.0,472.3450795931456,0.0,0.012702577541758452,-0.012702577541758452,-100.0
Odessa,0.0,6.5,-6.5,-100.0,70615.10424938491,0.0,9.204829574483873e-05,-9.204829574483873e-05,-100.0
Edineţ,0.0,6.5,-6.5,-100.0,2109.689404615942,0.0,0.0030810222517960134,-0.0030810222517960134,-100.0
Cuneo,6.0,12.5,-6.5,-52.0,13596.43707981551,0.0004412920800337653,0.0009193585000703443,-0.000478066420036579,-52.0
Braila,0.0,7.0,-7.0,-100.0,9580.410493927358,0.0,0.0007306576272944695,-0.0007306576272944695,-100.0
Bloke,0.0,7.0,-7.0,-100.0,152.0322399930789,0.0,0.046042865646909285,-0.046042865646909285,-100.0
Flevoland,0.0,7.0,-7.0,-100.0,6471.127903399402,0.0,0.0010817279621876692,-0.0010817279621876692,-100.0
Khmel'nyts'kyy,0.0,7.0,-7.0,-100.0,48466.09788392249,0.0,0.00014443085591014929,-0.00014443085591014929,-100.0
Šibensko-Kninska,0.0,7.0,-7.0,-100.0,3382.753412255738,0.0,0.0020693202095780775,-0.0020693202095780775,-100.0
Postojna,0.0,7.0,-7.0,-100.0,569.0297878507026,0.0,0.012301640703977702,-0.012301640703977702,-100.0
Ruggell,0.0,7.0,-7.0,-100.0,12.848226934219227,0.0,0.5448222572529914,-0.5448222572529914,-100.0
Andrijevica,0.0,7.0,-7.0,-100.0,619.4763534391845,0.0,0.011299866348630862,-0.011299866348630862,-100.0
Varna,0.0,7.0,-7.0,-100.0,7385.689187541141,0.0,0.000947778849373765,-0.000947778849373765,-100.0
Soroca,0.0,7.0,-7.0,-100.0,1837.7111066712557,0.0,0.0038090861912890507,-0.0038090861912890507,-100.0
Sofia,0.0,7.0,-7.0,-100.0,13169.941551004069,0.0,0.0005315133687488783,-0.0005315133687488783,-100.0
Istarska,0.0,7.0,-7.0,-100.0,5592.05083542019,0.0,0.0012517768893769393,-0.0012517768893769393,-100.0
Somogy,0.0,7.0,-7.0,-100.0,12295.807563218543,0.0,0.0005692997360286993,-0.0005692997360286993,-100.0
Bács-Kiskun,0.0,7.0,-7.0,-100.0,17222.55975131146,0.0,0.00040644364723234393,-0.00040644364723234393,-100.0
Zalaegerszeg,0.0,7.0,-7.0,-100.0,234.60812241990757,0.0,0.029836989136596142,-0.029836989136596142,-100.0
Krsko,0.0,7.0,-7.0,-100.0,13.787372562903334,0.0,0.5077109484104595,-0.5077109484104595,-100.0
Telšiai,0.0,7.0,-7.0,-100.0,12819.365125761666,0.0,0.000546048882400024,-0.000546048882400024,-100.0
Šiauliai,0.0,7.5,-7.5,-100.0,27220.735842683698,0.0,0.00027552524822784414,-0.00027552524822784414,-100.0
Žirovnica,0.0,7.5,-7.5,-100.0,88.82991162257521,0.0,0.08443101949562169,-0.08443101949562169,-100.0
Puconci,0.0,8.0,-8.0,-100.0,231.2328305606486,0.0,0.03459716330333867,-0.03459716330333867,-100.0
Tulcea,0.0,8.0,-8.0,-100.0,15396.095862850032,0.0,0.0005196122491873787,-0.0005196122491873787,-100.0
Forlì-Cesena,0.0,8.0,-8.0,-100.0,4558.627334208117,0.0,0.0017549142348109242,-0.0017549142348109242,-100.0
Shumen,0.0,8.0,-8.0,-100.0,6344.69226119955,0.0,0.001260896458118757,-0.001260896458118757,-100.0
Šoštanj,0.0,8.0,-8.0,-100.0,199.13637998975918,0.0,0.04017347307614716,-0.04017347307614716,-100.0
Kukës,0.0,8.0,-8.0,-100.0,4211.921856212615,0.0,0.0018993704710356728,-0.0018993704710356728,-100.0
Domžale,0.0,8.0,-8.0,-100.0,145.37434698069458,0.0,0.05503034177730397,-0.05503034177730397,-100.0
Kuyavian-Pomeranian,0.0,8.5,-8.5,-100.0,49100.09477401425,0.0,0.00017311575546079277,-0.00017311575546079277,-100.0
Podlachian,0.0,9.0,-9.0,-100.0,58862.340670236124,0.0,0.00015289911847747622,-0.00015289911847747622,-100.0
Šmartno ob Paki,0.0,9.0,-9.0,-100.0,37.72601241996799,0.0,0.2385621862128316,-0.2385621862128316,-100.0
Siena,0.0,9.0,-9.0,-100.0,7153.891100842223,0.0,0.0012580566118682512,-0.0012580566118682512,-100.0
Buzau,0.0,9.0,-9.0,-100.0,12085.118572335508,0.0,0.0007447175587173992,-0.0007447175587173992,-100.0
Alba,0.0,9.0,-9.0,-100.0,13125.95432146403,0.0,0.0006856644309117301,-0.0006856644309117301,-100.0
Vuzenica,0.0,9.0,-9.0,-100.0,107.17962061817622,0.0,0.08397118732172226,-0.08397118732172226,-100.0
Trnovska vas,0.0,9.0,-9.0,-100.0,48.54608683696296,0.0,0.18539084376101364,-0.18539084376101364,-100.0
Hainaut,0.0,9.0,-9.0,-100.0,9813.807490574529,0.0,0.0009170752542928793,-0.0009170752542928793,-100.0
Apace,0.0,9.0,-9.0,-100.0,116.06176209357106,0.0,0.07754491951228554,-0.07754491951228554,-100.0
Sveta Ana,0.0,9.0,-9.0,-100.0,84.19619563659752,0.0,0.10689319074278902,-0.10689319074278902,-100.0
Dobrich,0.0,9.0,-9.0,-100.0,8900.923123612318,0.0,0.001011131078766971,-0.001011131078766971,-100.0
Kamnik,0.0,9.0,-9.0,-100.0,565.5080733116482,0.0,0.015914892155819236,-0.015914892155819236,-100.0
Rimini,0.0,9.0,-9.0,-100.0,1636.458672029295,0.0,0.005499680593118508,-0.005499680593118508,-100.0
Kostel,0.0,10.0,-10.0,-100.0,233.28773629296103,0.0,0.04286551946066326,-0.04286551946066326,-100.0
